Cliente,Variável,Unidade,Theta_MLE,Theta_Bayes,Diferença_Absoluta,Diferença_Relativa_%,Efeito_Prior
client01,download_throughput_bps,bps,650329090.1786191,640647330.7705297,9681759.4080894,1.488747705477885,Pequeno
client01,upload_throughput_bps,bps,714049706.694203,699664700.2588636,14385006.43533945,2.0145665351417805,Pequeno
client01,rtt_download_sec,s,0.04565988314038844,0.019792843168160944,0.025867039972227498,56.65156849546733,Grande
client01,rtt_upload_sec,s,0.026540203346564838,0.01318874239621453,0.013351460950350308,50.30655106897822,Grande
client01,packet_loss_percent,%,0.9483450767735947,0.5618584873364124,0.3864865894371823,40.753792991899616,Grande
client10,download_throughput_bps,bps,231791294.74137795,232508263.96246633,716969.2210883796,0.3093167160951152,Pequeno
client10,upload_throughput_bps,bps,37347812.26601743,37094575.01898456,253237.24703286588,0.678051086979692,Pequeno
client10,rtt_download_sec,s,0.09441722749437931,0.031697650970852885,0.06271957652352642,66.42810659448789,Grande
client10,rtt_upload_sec,s,0.05964685643603339,0.028100291409564847,0.03154656502646854,52.88889794267663,Grande
client10,packet_loss_percent,%,2.17195260834589,1.5702414452832838,0.6017111630626064,27.703696699020337,Grande
